Hours;Workdays_median_in_kWh;Holidays_median_in_kWh;Saturdays_median_in_kWh
00:00;37.2;39.0;36.5
01:00;36.0;35.0;35.8
02:00;35.6;36.8;36.3
03:00;36.1;35.6;34.7
04:00;35.0;39.5;35.6
05:00;35.8;38.6;36.1
06:00;52.4;57.0;53.2
07:00;89.4;94.8;90.1
08:00;78.0;76.3;76.9
09:00;77.3;83.8;77.8
10:00;92.6;99.2;95.9
11:00;102.5;105.3;106.1
12:00;71.5;75.9;70.0
13:00;81.2;79.7;82.9
14:00;72.9;76.8;70.6
15:00;78.3;78.6;78.8
16:00;58.6;62.7;56.8
17:00;50.6;48.5;50.0
18:00;47.4;48.8;46.1
19:00;45.9;46.8;43.8
20:00;43.5;43.7;42.6
21:00;39.8;38.0;40.0
22:00;38.9;42.7;39.5
23:00;38.0;44.0;37.4
